School,G,Pts,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotYds,TotAvgYds,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenaltyYds,Fum,Int,TotTO,Conference,Year
Mississippi State,13,25.9,19.7,30.8,63.8,231.8,1.5,31.2,113.4,3.6,1.2,62.1,345.2,5.6,9.3,6.5,1.1,16.8,6.9,55.9,0.4,0.8,1.2,SEC,2021
LSU,13,26.6,20.8,32.5,64.2,236.8,2.2,35.5,142.5,4,1.2,68,379.3,5.6,10.9,7.9,1,19.8,5.5,45.4,0.3,0.6,0.9,SEC,2021
Florida,13,26.8,17.4,30.5,57.1,203.9,1.4,36.7,163.9,4.5,1.4,67.2,367.8,5.5,9.1,8.6,2.6,20.3,5.2,43,0.3,0.7,1,SEC,2021
Tennessee,13,29.1,23.1,37.7,61.2,273.2,1.8,40.1,148.5,3.7,1.8,77.8,421.7,5.4,12,9,1.6,22.5,6.8,60.3,0.2,1,1.2,SEC,2021
Missouri,13,33.8,15.1,25.3,59.6,206.8,1.8,42.8,227.8,5.3,2.4,68.2,434.6,6.4,8.8,12,2,22.8,5,43.6,0.4,0.8,1.2,SEC,2021
Vanderbilt,12,35.8,21.4,32.7,65.6,264.3,2.4,34.8,193.7,5.6,1.8,67.4,457.9,6.8,11.2,9.6,1.3,22,7.6,66.9,0.3,1.1,1.3,SEC,2021
Oregon State,13,20,20.5,35.3,58,224.5,0.8,28.8,108.2,3.8,1.3,64.2,332.8,5.2,9.4,7.2,1.5,18.2,6.2,55.8,0.4,0.9,1.3,PAC-12,2022
Utah,14,21.4,18.1,29.5,61.3,222.6,1.4,28.1,111.4,4,1.3,57.6,334.1,5.8,8.9,5.9,1,15.8,6.9,59.9,0.9,0.9,1.7,PAC-12,2022
Washington State,13,22.9,22,35.4,62.2,267.7,1.5,33.5,134.6,4,1.3,68.8,402.3,5.8,10.5,8.5,1.5,20.5,6.8,56.5,0.7,0.9,1.6,PAC-12,2022
Washington,13,25.8,20.2,32.2,62.9,251.5,2,34.5,121.2,3.5,1.1,66.6,372.7,5.6,11.2,8.2,1.9,21.2,6.1,48,0.4,0.5,0.9,PAC-12,2022
