School,W,L,OSRS,DSRS,SRS,OffPts,DefPts,PassOff,PassDef,RushOff,RushDef,TotOff,TotDef,Conference,Year
Texas,5,7,3.16,-1.41,1.75,46.51,12.12,9.4,5.48,5.82,2.84,7.27,3.88,BIG-12,2016
Texas Tech,5,7,12.46,-11.12,1.34,58.7,25.95,10.2,6.39,4.36,4.56,7.87,5.44,BIG-12,2016
Iowa State,3,9,-3.46,-0.97,-4.43,42.83,14.32,9.5,5.29,5.31,3.86,7.22,4.44,BIG-12,2016
Kansas,2,10,-9.16,-1.49,-10.65,35.94,19.08,7.98,5.16,4.69,4.02,6.33,4.38,BIG-12,2016
Ohio State,11,2,3.69,15.13,18.82,58.54,-4.03,8.92,3.37,7.15,2.02,7.7,2.85,BIG-TEN,2016
Michigan,10,3,4.71,12.85,17.56,59.79,-2.59,9.7,3.87,6.52,1.76,7.67,2.81,BIG-TEN,2016
Penn State,11,3,11.63,4.09,15.72,57.14,7.96,11.59,4.67,6.35,2.38,8.4,3.66,BIG-TEN,2016
Wisconsin,11,3,2.13,13.17,15.3,48.3,-1.66,10.03,4.7,6,1.85,7.21,3.46,BIG-TEN,2016
Minnesota,9,4,4,4.65,8.65,45.24,7.55,8.61,4.69,5.47,2.09,6.53,3.58,BIG-TEN,2016
Nebraska,9,4,-0.9,8.45,7.55,43.37,7.38,8.86,4.96,5.62,3.09,6.87,4.22,BIG-TEN,2016
Iowa,8,5,-0.51,7.31,6.81,42.87,4.7,8.49,4.94,5.98,2.96,6.84,4,BIG-TEN,2016
Northwestern,7,6,0.48,4.98,5.46,43.71,6,8.38,5.25,5.55,2.48,6.75,4.12,BIG-TEN,2016
Indiana,6,7,2.15,-0.77,1.38,43.94,11.76,9.79,5.45,5.21,2.39,7.12,3.85,BIG-TEN,2016
Maryland,6,7,-1.82,1.89,0.07,42.77,14.64,8.82,5.61,6.46,3.74,7.27,4.63,BIG-TEN,2016
Michigan State,3,9,-1.21,-0.58,-1.79,43.51,11.04,9.29,5.84,6.13,2.71,7.37,4.21,BIG-TEN,2016
Rutgers,2,10,-9.42,2.45,-6.97,34.84,19.61,7.1,5.75,5.26,4.1,5.89,4.87,BIG-TEN,2016
Illinois,3,9,-5.92,-1.83,-7.75,38.09,16.29,7.74,5.65,6.25,3.46,6.82,4.35,BIG-TEN,2016
Purdue,3,9,0.2,-9.16,-8.96,42.38,25.56,8.17,6.34,4.64,4.15,6.58,5.1,BIG-TEN,2016
Alabama,14,1,8.01,17.62,25.62,58.39,-6.83,9.76,3.62,7.42,0.07,8.2,2.06,SEC,2016
LSU,8,4,2.68,13.25,15.93,47.48,-3.92,9.69,4.37,7.84,1.43,8.42,2.95,SEC,2016
Auburn,8,5,-1.04,13.02,11.97,49.58,-1.17,9.69,4.33,7.03,2.03,7.73,3.35,SEC,2016
Florida,9,4,-2.62,13.6,10.98,43.18,0.07,8.93,3.92,5.28,2.13,6.86,2.99,SEC,2016
Tennessee,9,4,11.58,-0.99,10.59,56.37,14.41,10.46,5.37,6.91,3.55,8.24,4.49,SEC,2016
Texas A&M,8,5,5.4,3.37,8.77,52.91,8.21,8.98,5.27,7.31,2.79,7.95,4.02,SEC,2016
Ole Miss,5,7,9.15,-4.41,4.74,52.84,16.33,9.93,5.49,5.98,3.53,7.84,4.49,SEC,2016
Arkansas,7,6,4.06,0.29,4.35,48.43,13.1,10.56,5.9,5.9,4.33,7.81,5.12,SEC,2016
Georgia,8,5,0.35,3.29,3.64,41.83,8.65,8.51,4.94,6.01,2.47,6.97,3.71,SEC,2016
Vanderbilt,6,7,-2.05,5.26,3.21,39.81,6.93,8.35,4.86,5.81,3,6.78,4.15,SEC,2016
Kentucky,7,6,4.33,-2.03,2.3,46.78,15.02,9.68,5.66,6.98,3.54,7.83,4.55,SEC,2016
Mississippi State,6,7,5.19,-3.51,1.68,48.61,16.88,8.47,5.88,7.29,3.24,7.66,4.71,SEC,2016
South Carolina,6,7,-5.88,4.97,-0.91,35.91,9.03,8.78,4.92,4.93,3.16,6.53,3.97,SEC,2016
Missouri,4,8,0.19,-2.69,-2.5,48.71,16.84,9.91,5.27,6.29,3.71,7.87,4.52,SEC,2016
Washington,10,3,5.38,10.84,16.22,51.66,0.4,10.05,4.66,5.85,2.2,7.78,3.15,PAC-12,2017
USC,11,3,7.47,4.91,12.37,49.33,6.99,10.38,5.38,5.75,3.24,8.06,4.06,PAC-12,2017
Stanford,9,5,5.73,5.11,10.84,49.59,5.33,9.03,5.8,7.1,3.66,8.08,4.45,PAC-12,2017
Washington State,9,4,3.04,3.58,6.62,45.65,9.56,8.26,4.64,3.9,3.31,6.95,3.73,PAC-12,2017
Utah,7,6,1.1,3.97,5.07,43.12,6.98,9.14,4.39,4.71,3.14,6.87,3.6,PAC-12,2017
Oregon,7,6,3.14,1.52,4.66,50.45,12.8,9.59,5.11,6,2.84,7.43,3.73,PAC-12,2017
Arizona State,7,6,5.76,-1.96,3.8,47.2,14.37,9.75,5.88,4.95,3.83,7.13,4.7,PAC-12,2017
Arizona,7,6,12.72,-9.55,3.17,55.43,21.51,9.6,6.22,7.4,4.32,8.35,5.01,PAC-12,2017
UCLA,6,7,6.49,-5.85,0.64,48.38,17.68,9.96,5.23,4.73,4.57,7.79,4.62,PAC-12,2017
California,5,7,-0.34,0.18,-0.16,40.91,10.94,8.1,5.84,4.23,3.14,6.38,4.16,PAC-12,2017
Colorado,5,7,-2.24,-0.36,-2.61,38.95,13.1,9.02,5.51,4.55,4.66,6.7,4.79,PAC-12,2017
Oregon State,1,11,-4.65,-8.92,-13.57,36.27,25.82,8.15,6.52,4.74,4.48,6.44,5.1,PAC-12,2017
Clemson,12,2,5.99,14.63,20.62,53.09,-3.72,8.93,4.01,6.1,1.79,7.4,2.78,ACC,2017
Miami (FL),10,3,7.05,7.94,14.98,48.53,3.95,9.17,4.97,6.33,2.4,7.79,3.55,ACC,2017
North Carolina State,9,4,8.62,3.54,12.17,50.29,7.83,9.12,5.71,5.91,2.69,7.5,4.16,ACC,2017
Wake Forest,8,5,10.47,0.95,11.42,53.46,10.11,10.3,5.52,5.83,2.92,7.87,4.16,ACC,2017
Virginia Tech,9,4,-2.54,13.1,10.56,43.23,-1.24,8.91,6.11,4.73,2.45,6.59,3.92,ACC,2017
Louisville,8,5,10.53,-0.85,9.67,55.79,12.18,10.1,6.5,7.61,3.13,8.85,4.5,ACC,2017
Boston College,7,6,2.09,7.3,9.39,44.99,4.33,7.74,4.68,6.06,3.72,6.73,4.01,ACC,2017
Florida State,7,6,-0.49,8.56,8.07,45.17,2.8,8.93,4.25,5.62,2.35,7.1,3.2,ACC,2017
Duke,7,6,0.46,6.77,7.23,44.07,5,7.44,6,5.26,3.09,6.28,4.14,ACC,2017
